"","Votes","Education","Poverty","Employment"
"1",20,36,28,64
"2",3,3,7,17
"3",9,20,13,80
"4",11,19,23,45
"5",8,36,0,38
"6",9,0,0,0
"7",12,0,0,0
"8",14,24,6,52
"9",13,39,30,58
"10",1,0,0,0
"11",9,16,2,16
"12",12,1,3,15
"13",23,2,0,11
"14",4,2,0,0
"15",1,10,0,0
"16",5,30,33,59
"17",7,41,41,53
"18",11,4,17,38
"19",13,21,7,7
"20",13,1,0,10
"21",17,1,0,1
"22",16,5,8,16
"23",29,2,4,5
"24",16,17,11,44
"25",3,0,18,12
"26",21,20,10,150
"27",11,19,57,124
"28",9,3,0,30
"29",7,0,2,3
"30",12,0,0,0
"31",16,0,0,0
"32",9,45,65,69
"33",16,22,39,92
"34",18,0,1,10
"35",10,0,0,0
"36",13,22,26,57
"37",13,3,17,14
"38",13,20,9,53
"39",7,37,15,28
"40",2,0,3,14
"41",9,0,0,0
"42",12,14,2,24
"43",16,13,0,33
"44",22,16,15,65
"45",18,0,0,3
"46",0,0,0,0
