"","absolute_votes","state","count","Klans"
"1",20,"Alabama",67,2904
"2",3,"Alaska",29,203
"3",9,"Arizona",15,1213
"4",11,"Arkansas",75,4428
"5",8,"California",58,5681
"6",9,"Connecticut",8,1875
"7",12,"Delaware",3,500
"8",14,"Florida",67,4843
"9",13,"Georgia",159,4303
"10",1,"Hawaii",5,0
"11",9,"Idaho",44,57
"12",12,"Illinois",102,9974
"13",23,"Indiana",92,5539
"14",4,"Iowa",99,975
"15",1,"Kansas",105,4222
"16",5,"Kentucky",120,1418
"17",7,"Louisiana",64,3881
"18",11,"Maryland",24,3138
"19",13,"Massachusetts",14,1929
"20",13,"Michigan",83,3508
"21",17,"Mississippi",82,2051
"22",16,"Missouri",115,4850
"23",29,"Montana",56,421
"24",16,"Nebraska",93,1991
"25",3,"Nevada",17,12
"26",21,"New Hampshire",10,300
"27",11,"New Jersey",21,8529
"28",9,"New Mexico",33,67
"29",7,"New York",62,23858
"30",12,"North Carolina",100,1682
"31",16,"Ohio",88,11518
"32",9,"Oklahoma",77,13103
"33",16,"Oregon",36,1461
"34",18,"Pennsylvania",67,49036
"35",10,"Rhode Island",5,720
"36",13,"South Carolina",46,1774
"37",13,"South Dakota",66,139
"38",13,"Tennessee",95,2129
"39",7,"Texas",254,9122
"40",2,"Utah",29,24
"41",9,"Vermont",14,2264
"42",12,"Virginia",133,1824
"43",16,"Washington",39,1585
"44",22,"West Virginia",55,3662
"45",18,"Wisconsin",72,1474
"46",0,"Wyoming",23,922
