"","Votes","Urbanization"
"1",20,43
"2",3,10
"3",9,53
"4",11,27
"5",8,64
"6",9,88
"7",12,100
"8",14,66
"9",13,47
"10",1,60
"11",9,27
"12",12,39
"13",23,48
"14",4,21
"15",1,18
"16",5,29
"17",7,55
"18",11,21
"19",13,93
"20",13,5
"21",17,26
"22",16,6
"23",29,68
"24",16,49
"25",3,35
"26",21,380
"27",11,86
"28",9,39
"29",7,31
"30",12,11
"31",16,31
"32",9,22
"33",16,94
"34",18,55
"35",10,100
"36",13,57
"37",13,12
"38",13,44
"39",7,32
"40",2,34
"41",9,21
"42",12,61
"43",16,54
"44",22,38
"45",18,36
"46",0,9
