"","fips","state","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","Klans","TOTCNG","TOTADH","TOTRATE","EVANCNG","EVANADH","EVANRATE","BPRTCNG","BPRTADH","BPRTRATE","MPRTCNG","MPRTADH","MPRTRATE","CATHCNG","CATHADH","CATHRATE","ORTHCNG","ORTHADH","ORTHRATE","OTHCNG","OTHADH","OTHRATE","OCGCNG","AMECNG","AMEADH","AMERATE","AMEZCNG","AMEZADH","AMEZRATE","ALBCNG","ALBADH","ALBRATE","AWMCCNG","AWMCADH","AWMCRATE","ALBPCNG","AMANCNG","AMANADH","AMANRATE","AAMCNG","AAMADH","AAMRATE","AALCCNG","ABACNG","ABAADH","ABARATE","ABCCNG","ABCADH","ABCRATE","ACROCNG","ACROADH","ACRORATE","APCCNG","AMSHCNG","AMSHADH","AMSHRATE","ACNACNG","AOCACNG","AOCAADH","AOCARATE","ACCACNG","ACCAADH","ACCARATE","AFMCNG","AFMADH","AFMRATE","ALCACNG","AACACNG","AACAADH","AACARATE","ARMCNG","ARMADH","ARMRATE","AECCNG","AGCNG","AGADH","AGRATE","AGIFCNG","ARPCCNG","ARPCADH","ARPCRATE","AFLCCNG","AMCCNG","ARBCCNG","BAHCNG","BAHADH","BAHRATE","BAMCCNG","BAMCADH","BAMCRATE","BAMCNG","BAMADH","BAMRATE","BFCCNG","BFCADH","BFCRATE","BPCCNG","BCACNG","BCAADH","BCARATE","BCCCNG","BRUDCNG","BRUDADH","BRUDRATE","BUDMCNG","BUDMADH","BUDMRATE","BUDTCNG","BUDTADH","BUDTRATE","BUDVCNG","BUDVADH","BUDVRATE","BULGCNG","BULGADH","BULGRATE","CCFCCNG","CARCCNG","CTHCNG","CTHADH","CTHRATE","CYMFCNG","CYMFADH","CYMFRATE","CMACNG","CMAADH","CMARATE","CBCNG","CCDCCNG","CCDCADH","CCDCRATE","CCCCCNG","CCCCADH","CCCCRATE","CMECNG","CMEADH","CMERATE","CRCCNG","CRCADH","CRCRATE","CUCNG","CCHCNG","CCSCNG","CGAICNG","CGAIADH","CGAIRATE","CGCTCNG","CGCTADH","CGCTRATE","CG7DCNG","CGFCNG","CGGCCNG","CGGCADH","CGGCRATE","CGCCNG","CGCADH","CGCRATE","CGCMCNG","CGCMADH","CGCMRATE","CGPCNG","CGPADH","CGPRATE","CGAFCNG","CGMACNG","LDSCNG","LDSADH","LDSRATE","CAFCNG","CBRCNG","CBRADH","CBRRATE","CLBACNG","CLBAADH","CLBARATE","CLCCNG","NAZCNG","NAZADH","NAZRATE","CUBCCNG","CUBCADH","CUBCRATE","CHCHCNG","CHCHADH","CHCHRATE","CCCUCNG","CHGNCNG","CHGNADH","CHGNRATE","CRECCNG","COCCNG","COCADH","COCRATE","CCCCNG","CCCADH","CCCRATE","CHCCNG","CHCADH","CHCRATE","CMCCNG","CMCADH","CMCRATE","CBACNG","CCONCNG","CCONADH","CCONRATE","CJUDCNG","CJUDADH","CJUDRATE","CLACNG","CMCOCNG","CMCOADH","CMCORATE","CYFRCNG","CYFRADH","CYFRRATE","OFWBCNG","OFWBADH","OFWBRATE","CWCNG","CWADH","CWRATE","COPTCNG","COPTADH","COPTRATE","CRPCCNG","CUMBCNG","CUMBADH","CUMBRATE","CPCACNG","ELIMCNG","EBACNG","ECCNG","ECADH","ECRATE","EOCNG","EOADH","EORATE","ETHOCNG","EARCNG","EVCHCNG","ECCCNG","ECCADH","ECCRATE","ECOVCNG","ECOVADH","ECOVRATE","EFCACNG","EFCAADH","EFCARATE","EFCICNG","EFCIADH","EFCIRATE","ELCACNG","ELCAADH","ELCARATE","White","Black","Hispanic","Asian","Natives","Mixed","Metro_NonMetro","Farming_2015_Update","Mining_2015_Update","Manufacturing_2015_Update","Government_2015_Update","Recreation_2015_Update","Nonspecialized_2015_Update","Low_Education_2015_Update","Low_Employment_Cnty_2008_2012_25_64","Pop_Loss_2010","Retirement_Dest_2015_Update","Persistent_Poverty_2013","Persistent_Related_Child_Poverty_2013","votes","fraction_votes","voting_pop_percent","voting_population","absolute_votes","White_new","Black_new","Native_new","Asian_new","Islander_new","Mixed_new","Hispanic_new"
"1","1000","Alabama","4849377","4780127","1.4","4779736","6.1","22.8","15.3","51.5","69.7","26.7","0.7","1.3","0.1","1.5","4.1","66.2","85.0","3.5","5.2","83.1","22.6","388865","24.2","2207912","69.7","15.9","122500","1838683","2.55","23680","43253","18.6","97578","1603100","1.1","311578","382350","14.8","0.8","1.8","0.1","1.2","28.1","112858843","52252752","57344851","12364","6426342","13369","50645.33","94.4",1946,"10514","3007553","629.23","7029","2009448","420.41","1337","346519","72.5","1667","388252","81.23","169","200657","41.98","14","3001","0.63","298","59676","12.49","1","294","48639","10.18","189","29300","6.13","","","","","","","4","","","","","","","","32","5451","1.14","4","8157","1.71","","","","","","","","17","2","98","0.02","1","55","0.01","4","172","0.04","","","","","","","","","359","54821","11.47","","9","283","0.06","1","","","8","1441","0.3","2","139","0.03","","","","","","","","","","","","","","","7","921","0.19","2","410","0.09","1","53","0.01","","","","6","","169","200657","41.98","","","","17","1265","0.26","3","56","8370","1.75","26","3280","0.69","183","27620","5.78","","","","2","4","9","65","3355","0.7","387","86003","17.99","1","11","","","","91","31298","6.55","3","438","0.09","77","4341","0.91","","1","73","34349","7.19","27","3","230","0.05","","","","","116","13006","2.72","","","","867","114015","23.85","","","","","2","16","2471","0.52","","","","43","1647","0.34","23","2300","0.48","","","","","4","2843","0.59","","","","","","","","","","","","","","2","78","0.02","","59","5874","1.23","50","","","126","43697","9.14","","","","","1","","","","","4","212","0.04","2","500","0.1","","","","19","4066","0.85","0.66","0.27","0.04","0.02","N/A","0.01",29,0,0,24,11,1,33,24,43,10,7,19,33,371735,32.62,38.1,1847613,20,69.7,26.7,0.7,1.3,0.1,1.5,4.1
"2","2000","Alaska","736732","710249","3.7","710231","7.4","25.3","9.4","47.4","66.9","3.9","14.8","6.1","1.3","7.1","6.8","61.9","80.3","7.0","16.2","91.6","27.5","71004","18.8","308583","63.8","24.0","241800","251899","2.75","32651","70760","9.9","20519","266627","3.3","52991","68728","1.5","10.0","3.1","0.3","0.0","25.9","8204030","4563605","9303387","13635","1851293","1518","570640.95","1.2",59,"1246","240833","339.09","664","100960","142.15","16","1976","2.78","206","32550","45.83","104","50866","71.62","94","13480","18.98","162","41001","57.73","","1","25","0.04","3","313","0.44","","","","","","","","","","","","","","","","","","13","2146","3.02","","","","","","","","","3","522","0.73","","","","","","","","","","","","","","","87","10261","14.45","","","","","","","","15","1353","1.91","","","","","","","","","","","","","","","","","","6","986","1.39","4","3405","4.79","2","73","0.1","1","25","0.04","2","","104","50866","71.62","","","","16","1691","2.38","3","1","194","0.27","11","3586","5.05","3","439","0.62","3","264","0.37","","","5","7","892","1.26","22","2921","4.11","","","","","","4","442","0.62","1","5","0.01","4","131","0.18","","","80","32170","45.3","","","","","","","","3","26","3175","4.47","","","","26","2451","3.45","","","","","1","3","501","0.71","","","","","","","","","","5","","","","","","","","","","","","","","","","","4","360","0.51","","","","","","","","","","","50","7234","10.19","","","","","","","","","","20","2489","3.5","1","30","0.04","12","1387","1.95","35","9642","13.58","0.57","0.02","0.09","0.10","0.16","0.07",3,0,4,5,8,14,6,1,5,4,1,2,5,7346,13.281,34.7,255646,3,66.9,3.9,14.8,6.1,1.3,7.1,6.8
"3","4000","Arizona","6731484","6392310","5.3","6392017","6.4","24.1","15.9","50.3","83.7","4.7","5.3","3.3","0.3","2.7","30.5","56.2","80.4","13.4","26.8","85.7","26.9","522382","24.6","2909218","64.4","20.7","165100","2370289","2.67","25358","49774","17.9","132762","2173205","1.8","420233","491529","2.0","1.9","3.3","0.0","10.7","28.1","57977827","57573459","86758801","13637","13268514","26997","113594.08","56.3",182,"4673","2379928","372.33","2612","762376","119.27","77","12473","1.95","484","171792","26.88","278","930702","145.6","36","16233","2.54","1186","486352","76.09","","9","2814","0.44","1","126","0.02","","","","1","20","0","","","","","","","","3","11","1320","0.21","26","7204","1.13","","","","","","","","13","3","1320","0.21","3","338","0.05","","","","1","","","","1","3600","0.56","","285","123713","19.35","","1","32","0.01","4","1","4","34","7659","1.2","","","","","","","","","","","3","296","0.05","","","","","40","14089","2.2","5","3715","0.58","15","1457","0.23","1","150","0.02","47","","277","930001","145.49","","","","22","2860","0.45","1","30","4590","0.72","62","48386","7.57","4","592","0.09","9","950","0.15","","","24","26","3845","0.6","73","7228","1.13","5","","1","78","0.01","30","3801","0.59","5","275","0.04","26","1672","0.26","","","811","392918","61.47","1","3","219","0.03","4","591","0.09","1","106","16991","2.66","1","0","","137","14151","2.21","3","1","0","","1","9","1926","0.3","","","","2","87","0.01","","","","98","1","0","","6","4577","0.72","","4","168","0.03","","","","","","","22","7290","1.14","4","608","0.1","","1","24","0","","","","66","24853","3.89","1","150","0.02","1","","","","","","10","2332","0.36","34","8738","1.37","9","195","0.03","84","42944","6.72","0.49","0.04","0.39","0.04","0.03","0.01",8,0,1,0,5,7,3,3,12,0,8,2,7,249916,7.336,40,2692594,9,83.7,4.7,5.3,3.3,0.3,2.7,30.5
"4","5000","Arkansas","2966369","2915958","1.7","2915918","6.5","23.8","15.7","50.9","79.7","15.6","1.0","1.5","0.3","1.9","7.0","73.4","83.6","4.5","7.2","83.7","20.1","237311","21.3","1341033","66.7","15.7","107300","1129723","2.53","22170","40768","19.2","64772","978094","0.0","191530","238994","5.5","1.1","1.4","0.1","2.3","24.5","60735582","29659789","32974282","11602","3559795","7666","52035.48","56.0",3321,"6697","1614357","553.64","4833","1136611","389.8","547","107202","36.76","939","205332","70.42","126","122662","42.07","10","1200","0.41","242","41350","14.18","5","184","27991","9.6","14","1787","0.61","","","","","","","1","","","","","","","","463","80814","27.71","1","113","0.04","","","","","2","130","0.04","9","3","420","0.14","","","","1","44","0.02","","","","","","","","","436","68946","23.64","","5","152","0.05","","","","5","1266","0.43","4","431","0.15","1","107","0.04","","","","","","","","","","","","7","652","0.22","6","1304","0.45","","","","","","","8","","126","122662","42.07","1","10","0","7","422","0.14","","50","7847","2.69","57","8974","3.08","79","11199","3.84","","","","4","7","11","30","2397","0.82","87","9996","3.43","4","","5","135","0.05","103","17353","5.95","4","499","0.17","27","1014","0.35","12","","62","27559","9.45","","1","37","0.01","","","","","108","16291","5.59","","","","721","84635","29.03","","2","18","0.01","3","17","2046","0.7","","","","","","","1","15","0.01","","","","","","","","","2","79","0.03","","","","","","","","","","1","18","0.01","","61","3592","1.23","","","","57","13469","4.62","","","","","","1","","","","","","","5","944","0.32","","","","21","4450","1.53","0.72","0.16","0.07","N/A","0.01","0.02",20,6,2,19,10,4,38,14,34,20,9,17,39,133144,28.085,39.5,1171716,11,79.7,15.6,1,1.5,0.3,1.9,7
"5","6000","California","38802500","37254503","4.2","37253956","6.5","23.6","12.9","50.3","73.2","6.5","1.7","14.4","0.5","3.7","38.6","38.5","84.2","27.0","43.7","81.2","30.7","1893539","27.2","13900766","55.3","31.0","366400","12542460","2.94","29527","61094","15.9","874243","13401863","3.5","2983996","3425510","4.0","1.3","14.9","0.3","16.5","30.3","491372092","598456486","455032270","12561","80852787","83645","155779.22","239.1",3295,"23558","16765751","450.04","13612","3502250","94.01","815","249191","6.69","3161","880981","23.65","1317","10234036","274.71","284","154331","4.14","4369","1744962","46.84","","98","61557","1.65","35","5225","0.14","","","","1","151","0","5","","","","","","","7","85","8658","0.23","458","114797","3.08","","","","","","","","83","29","10066","0.27","2","138","0","6","264","0.01","2","11","5460","0.15","23","32900","0.88","10","1260","348747","9.36","3","17","525","0.01","7","1","8","217","29638","0.8","","","","","","","","","","","5","505","0.01","18","","","","498","250945","6.74","109","65463","1.76","126","10532","0.28","2","110","0","331","","1315","10233334","274.69","","","","230","61456","1.65","14","202","22978","0.62","212","82719","2.22","53","12952","0.35","141","26922","0.72","","38","181","122","20634","0.55","222","25547","0.69","31","","2","47","0","301","72496","1.95","7","1078","0.03","116","6503","0.17","1","","1362","763818","20.5","13","24","2534","0.07","3","670","0.02","4","435","86715","2.33","1","19","0","632","73405","1.97","","8","525","0.01","3","41","6619","0.18","","","","","","","","","","226","9","5755","0.15","62","51738","1.39","3","1","80","0","","","","","","","151","36720","0.99","38","24208","0.65","","5","952","0.03","","","","409","130709","3.51","6","2550","0.07","10","1","","","","","148","53984","1.45","180","59607","1.6","41","5686","0.15","446","123908","3.33","0.39","0.05","0.38","0.15","0.01","0.02",37,2,0,1,11,20,26,21,22,0,3,0,5,1174829,44.631,36.5,14162912,8,73.2,6.5,1.7,14.4,0.5,3.7,38.6
"6","9000","Connecticut","3596677","3574096","0.6","3574097","5.3","21.6","15.5","51.2","81.2","11.5","0.5","4.5","0.1","2.2","15.0","68.8","88.0","13.6","21.5","89.2","36.5","217947","24.8","1493564","67.8","34.4","278900","1355849","2.55","37892","69461","10.2","88498","1473605","0.7","263511","332150","4.4","0.5","3.3","0.0","4.2","28.1","58404898","107917037","52165480","14953","9138437","5329","4842.36","738.1",150,"2597","1830862","512.26","871","157336","44.02","106","22969","6.43","806","281174","78.67","412","1254340","350.95","55","19632","5.49","347","95411","26.7","","14","4474","1.25","24","5845","1.64","","","","","","","1","","","","","","","","","","","122","40672","11.38","4","1003","0.28","","","","","7","2","1061","0.3","1","575","0.16","","","","","1","500","0.14","3","1000","0.28","","89","17947","5.02","","","","","","","1","8","1014","0.28","","","","","","","1","43","0.01","","","","","","","","","23","5297","1.48","4","1296","0.36","10","917","0.26","","","","2","","399","1252936","350.56","","","","19","2601","0.73","5","8","168","0.05","6","699","0.2","7","2180","0.61","1","245","0.07","","","18","2","100","0.03","63","9379","2.62","2","","","","","27","3870","1.08","1","0","","8","1149","0.32","","","32","14990","4.19","12","","","","2","599","0.17","","20","2007","0.56","","","","23","2618","0.73","","","","","","3","365","0.1","4","657","0.18","","","","","","","14","8","573","0.16","27","18681","5.23","","","","","","","","","","","17","5010","1.4","1","390","0.11","","","","","","4","","171","59261","16.58","","","","","","","","","","14","2644","0.74","23","3666","1.03","","","","73","24736","6.92","0.71","0.09","0.13","0.06","N/A","0.01",7,0,0,0,1,0,7,0,0,0,0,0,0,123367,98.993,37.1,1334367,9,81.2,11.5,0.5,4.5,0.1,2.2,15
"7","10000","Delaware","935614","897936","4.2","897934","6.0","21.8","16.4","51.6","70.8","22.2","0.7","3.8","0.1","2.5","8.9","63.7","86.3","8.4","12.6","87.7","28.9","75081","24.8","417437","72.5","17.6","235800","335707","2.63","29819","59878","11.7","24151","382128","5.1","56861","74573","8.7","0.0","4.0","0.0","2.1","26.1","25679939","5727401","14202083","16421","1910770","5194","1948.54","460.8",15,"831","374917","417.53","363","64625","71.97","75","13371","14.89","273","86858","96.73","45","182532","203.28","8","1486","1.65","67","26045","29.01","","39","9364","10.43","7","876","0.98","","","","","","","","","","","","","","","1","105","0.12","16","4699","5.23","","","","","9","1424","1.59","1","2","131","0.15","","","","","","","","","","","","","","","16","5720","6.37","","","","","","","1","6","279","0.31","","","","","","","3","755","0.84","","1","95","0.11","1","","","","4","421","0.47","","","","1","13","0.01","","","","1","","45","182532","203.28","","","","8","987","1.1","1","2","107","0.12","9","1281","1.43","","","","","","","","1","4","5","315","0.35","20","4054","4.51","","","","","","5","899","1","","","","8","560","0.62","","","12","4832","5.38","3","2","269","0.3","","","","","15","1703","1.9","","","","12","1306","1.45","","1","0","","","2","322","0.36","","","","","","","","","","1","","","","2","1253","1.4","","3","510","0.57","","","","","","","2","1050","1.17","1","210","0.23","","","","","","2","","35","10808","12.04","","","","","","","","","","","","","5","835","0.93","","","","14","6512","7.25","0.63","0.20","0.10","0.04","N/A","0.02",3,0,0,0,1,1,1,0,0,0,2,0,0,42472,1.874,38.2,357405,12,70.8,22.2,0.7,3.8,0.1,2.5,8.9
"8","12000","Florida","19893297","18804623","5.8","18801310","5.5","20.4","19.1","51.1","77.8","16.8","0.5","2.8","0.1","2.0","24.1","55.8","83.7","19.4","27.4","86.1","26.4","1569406","25.9","9144250","67.1","30.1","160200","7158980","2.61","26236","46956","16.3","510389","7134644","2.9","1838864","2009589","9.0","0.5","3.2","0.1","22.4","28.9","104832907","221641518","262341127","14353","41922059","84075","53624.76","350.6",3245,"15611","7357588","391.33","10307","3049524","162.2","1107","333390","17.73","1994","870959","46.32","552","2515243","133.78","142","60170","3.2","1509","528302","28.1","","453","111300","5.92","30","4410","0.23","","","","1","16","0","1","","","","","","","2","78","10868","0.58","24","18948","1.01","3","177","0.01","","1","125","0.01","60","14","4090","0.22","3","170","0.01","4","170","0.01","1","2","230","0.01","7","2810","0.15","","688","246270","13.1","","21","4290","0.23","2","","","76","9110","0.48","2","171","0.01","","","","","","","4","4","371","0.02","54","1","22","0","80","27940","1.49","16","9120","0.49","45","5040","0.27","","","","56","","547","2513839","133.71","","","","150","23687","1.26","9","116","18976","1.01","195","53140","2.83","52","10693","0.57","19","2384","0.13","","1","72","107","15832","0.84","613","109332","5.82","13","90","","","","144","22375","1.19","4","239","0.01","146","8377","0.45","1","7","235","136925","7.28","48","19","1734","0.09","3","471","0.03","3","235","44889","2.39","3","438","0.02","500","70094","3.73","3","2","65","0","3","32","4007","0.21","","","","18","669","0.04","8","351","0.02","6","","","","47","42193","2.24","","4","688","0.04","","","","","","","60","8610","0.46","19","5603","0.3","1","5","459","0.02","","2","","334","129482","6.89","1","200","0.01","2","","","","","","24","2935","0.16","32","6268","0.33","4","821","0.04","194","68140","3.62","0.55","0.16","0.25","0.03","N/A","0.01",44,1,0,1,20,18,31,16,35,0,40,4,21,1077221,33.017,39.5,7857852,14,77.8,16.8,0.5,2.8,0.1,2,24.1
"9","13000","Georgia","10097343","9688681","4.2","9687653","6.6","24.7","12.4","51.2","62.1","31.5","0.5","3.8","0.1","2.0","9.3","54.3","83.6","9.7","13.3","84.7","28.0","690208","27.0","4151190","65.1","20.5","151300","3518097","2.71","25182","49179","18.2","217559","3458050","2.0","816360","901105","20.4","0.7","5.1","0.1","3.6","30.9","144280774","141962359","117516907","12326","16976235","39423","57513.49","168.4",6841,"12292","4924376","508.31","7947","2853360","294.54","1256","381421","39.37","2230","855259","88.28","185","596384","61.56","45","15376","1.59","629","222576","22.98","","540","117271","12.11","28","4825","0.5","","","","","","","6","","","","","","","","20","3379","0.35","19","13978","1.44","1","60","0.01","","","","","30","2","610","0.06","1","41","0","2","87","0.01","","1","150","0.02","1","450","0.05","","253","56268","5.81","","14","1379","0.14","","","7","33","7690","0.79","3","477","0.05","","","","","","","","","","","1","","","","27","10698","1.1","10","4365","0.45","5","602","0.06","","","","16","","185","596384","61.56","","","","51","7238","0.75","5","68","20989","2.17","163","43168","4.46","144","32695","3.37","3","234","0.02","","4","18","49","3000","0.31","532","175184","18.08","2","27","3","164","0.02","116","26235","2.71","3","489","0.05","115","7187","0.74","","3","150","77587","8.01","22","","","","","","","1","93","11292","1.17","","","","417","55105","5.69","","","","","2","5","590","0.06","","","","104","8461","0.87","16","5946","0.61","","","","","11","11100","1.15","","1","13","0","1","0","","4","610","0.06","3","270","0.03","4","1029","0.11","","6","571","0.06","","","","166","68812","7.1","2","1050","0.11","3","","1","","","","5","1696","0.18","5","305","0.03","","","","84","29076","3","0.53","0.31","0.10","0.04","N/A","0.02",74,9,2,32,28,14,79,62,92,6,60,48,84,501707,74.276,37.1,3746114,13,62.1,31.5,0.5,3.8,0.1,2,9.3
"10","15000","Hawaii","1419561","1360301","4.4","1360301","6.4","21.7","16.1","49.4","26.7","2.5","0.4","37.5","10.0","23.0","10.1","23.0","84.9","17.9","25.4","90.4","30.1","112625","26.0","530106","57.6","38.1","503100","449771","2.96","29305","67402","11.2","31622","502530","2.1","98490","120374","0.9","1.3","47.2","9.5","3.6","31.0","8799266","8894672","17611851","13793","8042210","3066","6422.63","211.8",0,"1314","561980","413.13","622","130265","95.76","","","","218","40833","30.02","93","249619","183.5","6","340","0.25","375","140923","103.6","","","","","","","","","","","","","","","","","","","","","","3","199","0.15","3","658","0.48","","","","","","","","1","","","","","","","","","","","","","","","","","","83","22543","16.57","","","","","","","","26","869","0.64","","","","","","","","","","","","","","","","","","127","61727","45.38","5","3692","2.71","8","340","0.25","","","","23","","93","249619","183.5","","","","9","1591","1.17","","4","216","0.16","11","1745","1.28","","","","1","50","0.04","","","7","1","24","0.02","29","2250","1.65","","","","","","","","","","","","3","196","0.14","","","134","69872","51.37","","","","","","","","","25","3935","2.89","","","","14","911","0.67","","","","","","","","","5","483","0.36","","","","","","","1","1","24","0.02","1","108","0.08","","","","","","","","","","","3","270","0.2","1","50","0.04","","","","","","","","34","6932","5.1","","","","","","","","","","2","535","0.39","7","1340","0.99","","","","11","2573","1.89","0.19","0.02","0.09","0.53","N/A","0.17",3,0,0,0,2,5,0,0,0,0,1,0,0,5677,1.78,37.8,536594,1,26.7,2.5,0.4,37.5,10,23,10.1
