"","as.numeric.paste.full_data_15.INC110213.."
"1",43253
"2",70760
"3",49774
"4",40768
"5",61094
"6",69461
"7",59878
"8",46956
"9",49179
"10",67402
"11",46767
"12",56797
"13",48248
"14",51843
"15",51332
"16",43036
"17",44874
"18",73538
"19",66866
"20",48411
"21",39031
"22",47380
"23",46230
"24",51672
"25",52800
"26",64916
"27",71629
"28",44927
"29",58003
"30",46334
"31",48308
"32",45339
"33",50229
"34",52548
"35",56361
"36",44779
"37",49495
"38",44298
"39",51900
"40",58821
"41",54267
"42",63907
"43",59478
"44",41043
"45",52413
"46",57406
